COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,COMPANY_ABBR,A_STOCK_CODE,AREA_NAME,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,CSRC_CODE_DESC,COMPANY_CODE,FULL_NAME
LION,1,1,立昂微,605358,330000,-,1670,立昂微,浙江省,"Hangzhou Lion Microelectronics Co.,Ltd",立昂微,2,-,4,20200911,C,   D  F  N          ,制造业,605358,杭州立昂微电子股份有限公司
LEEDARSON,1,1,XD立达信,605365,350000,-,1671,立达信,福建省,Leedarson Iot Technology Inc.,立达信,2,-,4,20210720,C,   D  F  N          ,制造业,605365,立达信物联科技股份有限公司
HP,1,1,宏柏新材,605366,360000,-,1672,宏柏新材,江西省,"JIANGXI HUNGPAI NEW MATERIAL CO., LTD.",宏柏新材,2,-,4,20200812,C,   D  F  N          ,制造业,605366,江西宏柏新材料股份有限公司
HENAN LANTIAN GAS,1,1,蓝天燃气,605368,410000,-,1673,蓝天燃气,河南省,"Henan Lantian Gas Co.,Ltd.",蓝天燃气,2,-,4,20210129,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,605368,河南蓝天燃气股份有限公司
GONGDONG MEDICAL,1,1,拱东医疗,605369,330000,-,1674,拱东医疗,浙江省,"Zhejiang Gongdong Medical Technology Co.,Ltd.",拱东医疗,2,-,4,20200916,C,   D  F  N          ,制造业,605369,浙江拱东医疗器械股份有限公司
JIANGSU BOQIAN NEW MATERIALS STOCK,1,1,博迁新材,605376,320000,-,1675,博迁新材,江苏省,"Jiangsu Boqian New Materials Stock Co., Ltd.",博迁新材,2,-,4,20201208,C,   D  F  N          ,制造业,605376,江苏博迁新材料股份有限公司
HUAWON,1,1,华旺科技,605377,330000,-,1676,华旺科技,浙江省,"Hangzhou Huawang New Material Technology Co.,Ltd.",华旺科技,2,-,4,20201228,C,   D  F  N          ,制造业,605377,杭州华旺新材料科技股份有限公司
YMDC,1,1,野马电池,605378,330000,-,1677,野马电池,浙江省,"ZHEJIANG MUSTANG BATTERY CO., LTD",野马电池,2,-,4,20210412,C,   D  F  N          ,制造业,605378,浙江野马电池股份有限公司
JUNEYAO GRAND HEALTHY DRINKS,1,1,均瑶健康,605388,420000,-,1678,均瑶健康,湖北省,"JUNEYAO GRAND HEALTHY DRINKS CO.,LTD.",均瑶健康,2,-,4,20200818,C,   D  F  N          ,制造业,605388,湖北均瑶大健康饮品股份有限公司
CHANGLING HYDRAULIC,1,1,长龄液压,605389,320000,-,1679,长龄液压,江苏省,"Jiangsu Changling Hydraulic Co.,Ltd",长龄液压,2,-,4,20210322,C,   D  F  N          ,制造业,605389,江苏长龄液压股份有限公司
SNC NET,1,1,新炬网络,605398,310000,-,1680,新炬网络,上海市,"Shanghai New Centurion Network Information Technology Co., Ltd.",新炬网络,2,-,4,20210121,I,   D  F  N          ,信息传输、软件和信息技术服务业,605398,上海新炬网络信息技术股份有限公司
CHENGUANG NEW MATERIALS,1,1,晨光新材,605399,360000,-,1681,晨光新材,江西省,Jiang Xi Chenguang New Materials Company Limited,晨光新材,2,-,4,20200804,C,   D  F  N          ,制造业,605399,江西晨光新材料股份有限公司
FULAI NEW MATERIAL,1,1,福莱新材,605488,330000,-,1682,福莱新材,浙江省,"Zhejiang Fulai New Material Co., Ltd.",福莱新材,2,-,4,20210513,C,   D  F  N          ,制造业,605488,浙江福莱新材料股份有限公司
